"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4,7k";;;
2;"C3";"C_Rect_L31.5mm_W9.0mm_P27.50mm_MKS4";1;"20uF";;;
3;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1,8k";;;
4;"20uF1";"CP_Radial_D16.0mm_P7.50mm";1;"C";;;
5;"C2";"CP_Axial_L21.0mm_D8.0mm_P28.00mm_Horizontal";1;"50uF";;;
6;"P1";"SW_PUSH";1;"Signal_İn";;;
7;"P2";"SW_PUSH";1;"Sıgnal_Out";;;
8;"Q1";"TO-92_Inline_Narrow_Oval";1;"BC548";;;
9;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"22k";;;
10;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"6,8k";;;
